day,station,week,period,in,out
30,pddd,5,27,720,11179
30,pddd,3,24,661,3131
30,pddd,5,33,877,2147
30,pddd,4,49,2225,1496
30,pddd,3,56,6434,2599
30,pddd,5,71,4,104
30,pddd,1,50,2254,1123
30,pddd,1,30,364,1926
30,pddd,3,16,17,10
30,pddd,5,49,2594,1970
30,pddd,7,35,1218,3236
30,pddd,2,46,1686,1054
30,pddd,4,35,971,1614
30,pddd,3,39,1564,1793
30,pddd,7,54,3688,2282
30,pddd,7,26,395,1314
30,pddd,6,29,568,3067
30,pddd,5,50,2747,1886
30,pddd,2,23,483,1970
30,pddd,5,65,4380,504
30,pddd,3,19,135,538
30,pddd,4,69,371,185
30,pddd,2,39,1478,1701
30,pddd,6,65,3201,395
30,pddd,6,31,824,2931
30,pddd,2,58,3295,1709
30,pddd,3,51,2699,1453
30,pddd,4,59,3110,1293
30,pddd,3,27,729,10991
30,pddd,2,68,860,256
30,pddd,5,15,0,0
30,pddd,4,47,2075,1506
30,pddd,1,21,118,374
30,pddd,4,68,1085,308
30,pddd,3,33,964,2200
30,pddd,1,22,202,405
30,pddd,6,38,1441,3260
30,pddd,2,29,618,4694
30,pddd,2,32,893,2305
30,pddd,7,35,1135,3349
30,pddd,6,52,4115,3154
30,pddd,3,40,1735,1851
30,pddd,3,35,1145,1803
30,pddd,1,32,871,1870
30,pddd,2,60,2743,814
30,pddd,3,44,1870,1640
30,pddd,3,45,1912,1563
30,pddd,5,46,2347,1803
30,pddd,5,41,1832,2028
30,pddd,7,69,318,180
30,pddd,3,49,2597,1405
30,pddd,6,58,2762,1435
30,pddd,3,51,3008,1461
30,pddd,3,22,354,1325
30,pddd,2,50,2355,1280
30,pddd,1,50,2174,1161
30,pddd,4,39,1519,1712
30,pddd,6,30,614,3360
30,pddd,3,57,4588,2565
30,pddd,1,25,707,6092
30,pddd,5,16,17,5
30,pddd,2,56,6630,2173
30,pddd,4,23,465,2041
30,pddd,4,36,1264,2005
30,pddd,3,70,34,200
30,pddd,5,54,7046,3322
30,pddd,3,65,2862,366
30,pddd,6,53,4307,3171
30,pddd,5,42,1956,1998
30,pddd,2,58,3410,1249
30,pddd,2,30,727,3774
30,pddd,4,27,775,11431
30,pddd,4,21,295,921
30,pddd,2,60,2693,886
30,pddd,6,20,186,1296
30,pddd,3,38,1461,1832
30,pddd,4,39,1714,1879
30,pddd,6,37,1536,3302
30,pddd,6,55,3750,2700
30,pddd,1,41,1435,1585
30,pddd,2,45,1877,1448
30,pddd,1,58,3580,1351
30,pddd,2,29,718,5186
30,pddd,3,35,1171,1802
30,pddd,6,48,3828,3079
30,pddd,4,26,804,8733
30,pddd,3,50,2395,1399
30,pddd,1,50,2221,1162
30,pddd,6,68,1589,422
30,pddd,7,66,2228,270
30,pddd,3,53,4990,2111
30,pddd,3,63,2866,510
30,pddd,5,36,1372,1874
30,pddd,4,34,983,1816
30,pddd,1,30,684,3386
30,pddd,5,53,4940,2980
30,pddd,4,19,167,539
30,pddd,1,17,63,24
30,pddd,6,70,64,407
30,pddd,4,29,716,4787
30,pddd,3,54,6991,2411
30,pddd,5,55,7315,3856
30,pddd,2,33,905,2041
30,pddd,7,64,3290,449
30,pddd,5,43,2036,1914
30,pddd,6,60,3082,1070
30,pddd,2,24,581,3288
30,pddd,4,48,2208,1416
30,pddd,4,49,2339,1391
30,pddd,3,18,85,32
30,pddd,6,37,1504,3325
30,pddd,2,49,2046,1022
30,pddd,2,22,398,1451
30,pddd,4,61,3060,563
30,pddd,6,45,2887,3370
30,pddd,4,45,2057,1464
30,pddd,3,71,0,54
